# Соответствие регистрационной зоны MCU
# ячейке а.з. и участку ТВС по высоте
RegZone	Cell	Pitch
1370	8-8	0
1371	8-8	1
1372	8-8	2
1373	8-8	3
1374	8-8	4
1375	8-8	5
1376	8-8	6
1377	8-8	7
1378	8-8	8
1379	8-8	9
1380	9-9	0
1381	9-9	1
1382	9-9	2
1383	9-9	3
1384	9-9	4
1385	9-9	5
1386	9-9	6
1387	9-9	7
1388	9-9	8
1389	9-9	9
1390	10-10	0
1391	10-10	1
1392	10-10	2
1393	10-10	3
1394	10-10	4
1395	10-10	5
1396	10-10	6
1397	10-10	7
1398	10-10	8
1399	10-10	9
1400	11-10	0
1401	11-10	1
1402	11-10	2
1403	11-10	3
1404	11-10	4
1405	11-10	5
1406	11-10	6
1407	11-10	7
1408	11-10	8
1409	11-10	9
1410	12-10	0
1411	12-10	1
1412	12-10	2
1413	12-10	3
1414	12-10	4
1415	12-10	5
1416	12-10	6
1417	12-10	7
1418	12-10	8
1419	12-10	9
1420	13-11	0
1421	13-11	1
1422	13-11	2
1423	13-11	3
1424	13-11	4
1425	13-11	5
1426	13-11	6
1427	13-11	7
1428	13-11	8
1429	13-11	9
1430	14-11	0
1431	14-11	1
1432	14-11	2
1433	14-11	3
1434	14-11	4
1435	14-11	5
1436	14-11	6
1437	14-11	7
1438	14-11	8
1439	14-11	9
1440	15-11	0
1441	15-11	1
1442	15-11	2
1443	15-11	3
1444	15-11	4
1445	15-11	5
1446	15-11	6
1447	15-11	7
1448	15-11	8
1449	15-11	9
1450	16-11	0
1451	16-11	1
1452	16-11	2
1453	16-11	3
1454	16-11	4
1455	16-11	5
1456	16-11	6
1457	16-11	7
1458	16-11	8
1459	16-11	9
1460	17-10	0
1461	17-10	1
1462	17-10	2
1463	17-10	3
1464	17-10	4
1465	17-10	5
1466	17-10	6
1467	17-10	7
1468	17-10	8
1469	17-10	9
1470	2-3	0
1471	2-3	1
1472	2-3	2
1473	2-3	3
1474	2-3	4
1475	2-3	5
1476	2-3	6
1477	2-3	7
1478	2-3	8
1479	2-3	9
1480	3-4	0
1481	3-4	1
1482	3-4	2
1483	3-4	3
1484	3-4	4
1485	3-4	5
1486	3-4	6
1487	3-4	7
1488	3-4	8
1489	3-4	9
1490	4-6	0
1491	4-6	1
1492	4-6	2
1493	4-6	3
1494	4-6	4
1495	4-6	5
1496	4-6	6
1497	4-6	7
1498	4-6	8
1499	4-6	9
1500	5-7	0
1501	5-7	1
1502	5-7	2
1503	5-7	3
1504	5-7	4
1505	5-7	5
1506	5-7	6
1507	5-7	7
1508	5-7	8
1509	5-7	9
1510	6-8	0
1511	6-8	1
1512	6-8	2
1513	6-8	3
1514	6-8	4
1515	6-8	5
1516	6-8	6
1517	6-8	7
1518	6-8	8
1519	6-8	9
1520	7-9	0
1521	7-9	1
1522	7-9	2
1523	7-9	3
1524	7-9	4
1525	7-9	5
1526	7-9	6
1527	7-9	7
1528	7-9	8
1529	7-9	9
1530	8-9	0
1531	8-9	1
1532	8-9	2
1533	8-9	3
1534	8-9	4
1535	8-9	5
1536	8-9	6
1537	8-9	7
1538	8-9	8
1539	8-9	9
1540	9-10	0
1541	9-10	1
1542	9-10	2
1543	9-10	3
1544	9-10	4
1545	9-10	5
1546	9-10	6
1547	9-10	7
1548	9-10	8
1549	9-10	9
1550	10-11	0
1551	10-11	1
1552	10-11	2
1553	10-11	3
1554	10-11	4
1555	10-11	5
1556	10-11	6
1557	10-11	7
1558	10-11	8
1559	10-11	9
1560	11-11	0
1561	11-11	1
1562	11-11	2
1563	11-11	3
1564	11-11	4
1565	11-11	5
1566	11-11	6
1567	11-11	7
1568	11-11	8
1569	11-11	9
1570	12-11	0
1571	12-11	1
1572	12-11	2
1573	12-11	3
1574	12-11	4
1575	12-11	5
1576	12-11	6
1577	12-11	7
1578	12-11	8
1579	12-11	9
1580	13-12	0
1581	13-12	1
1582	13-12	2
1583	13-12	3
1584	13-12	4
1585	13-12	5
1586	13-12	6
1587	13-12	7
1588	13-12	8
1589	13-12	9
1590	14-12	0
1591	14-12	1
1592	14-12	2
1593	14-12	3
1594	14-12	4
1595	14-12	5
1596	14-12	6
1597	14-12	7
1598	14-12	8
1599	14-12	9
1600	15-12	0
1601	15-12	1
1602	15-12	2
1603	15-12	3
1604	15-12	4
1605	15-12	5
1606	15-12	6
1607	15-12	7
1608	15-12	8
1609	15-12	9
1610	16-12	0
1611	16-12	1
1612	16-12	2
1613	16-12	3
1614	16-12	4
1615	16-12	5
1616	16-12	6
1617	16-12	7
1618	16-12	8
1619	16-12	9
1620	1-1	0
1621	1-1	1
1622	1-1	2
1623	1-1	3
1624	1-1	4
1625	1-1	5
1626	1-1	6
1627	1-1	7
1628	1-1	8
1629	1-1	9
1630	2-4	0
1631	2-4	1
1632	2-4	2
1633	2-4	3
1634	2-4	4
1635	2-4	5
1636	2-4	6
1637	2-4	7
1638	2-4	8
1639	2-4	9
1640	3-5	0
1641	3-5	1
1642	3-5	2
1643	3-5	3
1644	3-5	4
1645	3-5	5
1646	3-5	6
1647	3-5	7
1648	3-5	8
